,GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
51999,1265447939.625,32.11,9.179,2.7199999999999996e-22,1247.277,5.75,2434.0783690000003,0.0,0.0,0.9990000000000001,ou7sYDZibR,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/fSb123Y47X/ou7sYDZibR.png,45.255
52000,1265530353.0310001,27.807,12.748,3.7699999999999997e-22,2961.093,3.75,5902.186035,0.0,0.0,1.0,zJ411VTVUZ,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/SQbFTE80P9/zJ411VTVUZ.png,45.255
52001,1265623082.625,26.835,21.072,5.4299999999999995e-22,2485.756,4.25,4940.922363000001,0.0,0.0,1.0,dReVrnRh5S,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BbLJ2Z5e1D/dReVrnRh5S.png,45.255
52002,1265659237.2810001,24.316,9.505,3.92e-22,23.943,1.0,10.05525,0.0,0.0,0.975,K5D84jVdwd,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/RD2bLWXWMI/K5D84jVdwd.png,45.255
52003,1266129782.063,37.704,11.562999999999999,1.27e-22,1363.0020000000002,0.625,2680.575195,0.0,0.0,1.0,cvMVxZE78e,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/1IiNk79j7M/cvMVxZE78e.png,45.255
52004,1266164877.813,49.119,9.212,8.15e-23,37.924,0.875,27.921659000000002,0.0,0.0,0.919,MTjfHpwg9q,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/8AjUrZe3mx/MTjfHpwg9q.png,45.255
52005,1266164885.188,24.178,11.075,7.679999999999999e-22,2083.092,1.875,4128.352539,0.0,0.0,0.968,8lUNxCVIcv,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/8AjUrZe3mx/8lUNxCVIcv.png,45.255
52006,1266167698.047,25.048000000000002,8.953,3.7e-22,2083.092,1.25,4128.352539,0.0,0.0,0.997,EftAlpmcLc,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/36lqs0zdoZ/EftAlpmcLc.png,45.255
52007,1266515374.4060001,34.003,47.586999999999996,8.89e-22,3406.167,9.5,6792.334961,0.0,0.0,0.991,aSr896mKiH,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/dnPXsZgcb4/aSr896mKiH.png,45.255
52008,1266515581.0939999,24.316,38.255,2.3199999999999998e-21,3587.92,3.286,7155.84082,0.0,0.0,1.0,wLW6OJPKIe,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/wLW6OJPKIe.png,45.255
52009,1266515817.2810001,32.882,67.039,1.31e-21,1657.86,4.0,3295.7192379999997,0.0,0.0,0.934,BG1eHnpZid,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/BG1eHnpZid.png,45.255
52010,1266516371.9689999,35.163000000000004,43.006,7.869999999999999e-22,3485.7340000000004,4.603,6951.467773,0.0,0.0,1.0,WXYKh6dsne,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/WXYKh6dsne.png,45.255
52011,1266516460.4060001,34.003,70.327,1.4400000000000001e-21,2645.1090000000004,12.5,5270.218261999999,0.0,0.0,1.0,aazWuBmJdp,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/aazWuBmJdp.png,45.255
52012,1266516482.7189999,31.798000000000002,46.748999999999995,1.7899999999999997e-21,2918.329,4.039,5811.92334,0.0,0.0,1.0,on1EBOvAFP,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/on1EBOvAFP.png,45.255
52013,1266516488.5939999,35.163000000000004,60.736999999999995,1.3e-21,3580.289,4.25,7135.842773,0.0,0.0,1.0,xOCQGgKue6,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/xOCQGgKue6.png,45.255
52014,1266516511.5939999,24.316,176.56099999999998,2.35e-20,3487.812,8.0,6955.623047,0.0,0.0,0.997,36EuIUHAjy,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/36EuIUHAjy.png,45.255
52015,1266516521.563,29.948,14.215,6.6200000000000005e-22,1498.1660000000002,2.625,2976.331787,0.0,0.0,1.0,sd9bIGQJka,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/sd9bIGQJka.png,45.255
52016,1266516528.313,37.095,100.524,1.67e-21,57.93899999999999,5.75,91.144402,0.0,0.0,0.9840000000000001,l8dzjD8eZ8,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/l8dzjD8eZ8.png,45.255
52017,1266516552.7189999,24.316,23.463,2.16e-21,2653.259,4.75,5286.518555,0.0,0.0,1.0,m0YUxS5oZT,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/m0YUxS5oZT.png,45.255
52018,1266516574.7810001,32.882,55.951,1.4899999999999999e-21,3869.171,6.5,7718.341797,0.0,0.0,0.92,2K2xeQfapl,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/2K2xeQfapl.png,45.255
52019,1266516649.9060001,32.882,30.399,6.91e-22,2738.188,9.0,5456.375488000001,0.0,0.0,0.9990000000000001,7EFS0j4w7D,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/7EFS0j4w7D.png,45.255
52020,1266516884.2810001,29.735,45.257,1.4499999999999998e-21,3406.167,10.0,6792.334961,0.0,0.0,0.9840000000000001,ZbXb6gUWXi,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BdLAJA0izY/ZbXb6gUWXi.png,45.255
52021,1266596621.875,35.626,7.6160000000000005,1.3599999999999998e-22,33.821,1.0,20.85581,0.0,0.0,0.9520000000000001,YmgEKV7qwi,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/3jlmSi9yzl/YmgEKV7qwi.png,45.255
52022,1266596623.313,37.762,8.136000000000001,1.18e-22,2088.099,1.0,4118.337402,0.0,0.0,0.996,fk7lO0UJso,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/3jlmSi9yzl/fk7lO0UJso.png,45.255
52023,1266596649.625,30.629,15.564,4.74e-22,2635.058,5.0,5223.32959,0.0,0.0,1.0,5X7OVVB0oZ,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/3jlmSi9yzl/5X7OVVB0oZ.png,45.255
52024,1266600104.375,30.629,17.24,5.65e-22,1154.71,4.0,2262.634521,0.0,0.0,1.0,jDCvwbTOOf,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/AE7pdenDbZ/jDCvwbTOOf.png,45.255
52025,1266600177.125,26.333000000000002,14.08,4.67e-22,442.64599999999996,6.25,847.460632,0.0,0.0,1.0,ceGsn4gMml,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/AE7pdenDbZ/ceGsn4gMml.png,45.255
52026,1266782377.8439999,31.798000000000002,7.905,1.7600000000000002e-22,32.813,1.0,7.76503,0.0,0.0,1.0,mJun2hSBqG,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/oURVOM8642/mJun2hSBqG.png,45.255
52027,1266782381.4060001,47.61600000000001,11.677,1.0899999999999999e-22,38.052,2.5,33.342971999999996,0.0,0.0,1.0,C94RsB6C3h,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/oURVOM8642/C94RsB6C3h.png,45.255
